ID,Date,Day,Group,Temperature,Light,Tank,Aminopeptidase,Glucosidase
e5.1.0,29.06.22,0,13,25,Light,0,3.04585153,0.175542209
e5.1.0,29.06.22,0,13,25,Light,0,1.483664847,0.077130936
e5.1.0,29.06.22,0,13,25,Light,0,3.159493315,0.312744981
e5.2.0,29.06.22,0,14,25,Light,0,3.642515899,0.073302736
e5.2.0,29.06.22,0,14,25,Light,0,2.306392933,0.023356807
e5.2.0,29.06.22,0,14,25,Light,0,1.820258414,0.077052803
e5.3.0,29.06.22,0,15,25,Light,0,6.424822869,2.40783916
e5.3.0,29.06.22,0,15,25,Light,0,19.97863109,0.239169352
e5.3.0,29.06.22,0,15,25,Light,0,11.92441202,3.149766047
e1.1,06.07.22,7,16,15,Light,1,0.828508764,0.075620457
e1.1,06.07.22,7,16,15,Light,1,0.946942845,0.587155038
e1.1,06.07.22,7,16,15,Light,1,0.346677166,0.308472079
e2.1,06.07.22,7,17,15,Light,2,1.117301608,0.103545598
e2.1,06.07.22,7,17,15,Light,2,1.113718427,0.068372711
e2.1,06.07.22,7,17,15,Light,2,0.914538206,0.073417711
e3.1,06.07.22,7,18,15,Light,3,1.297141541,0.045918908
e3.1,06.07.22,7,18,15,Light,3,1.83878818,0.087700035
e3.1,06.07.22,7,18,15,Light,3,0.923866074,0.012096091
e4.1,06.07.22,7,19,15,Light,4,9.371514494,0.026165246
e4.1,06.07.22,7,19,15,Light,4,0.926410502,0.047197922
e4.1,06.07.22,7,19,15,Light,4,0.847964047,0.039523837
e5.1,06.07.22,7,20,15,Dark,5,0.508904889,0.113564542
e5.1,06.07.22,7,20,15,Dark,5,0.936929587,0.117898979
e5.1,06.07.22,7,20,15,Dark,5,1.297827916,0.355582431
e6.1,06.07.22,7,21,15,Dark,6,0.701573138,0.049187499
e6.1,06.07.22,7,21,15,Dark,6,0.371352534,0.001295527
e6.1,06.07.22,7,21,15,Dark,6,0.827832267,0.053237711
e7.1,06.07.22,7,22,15,Dark,7,1.619636309,0.055511514
e7.1,06.07.22,7,22,15,Dark,7,0.612573428,0.093455598
e7.1,06.07.22,7,22,15,Dark,7,2.105553755,0.060840739
e8.1,06.07.22,7,23,15,Dark,8,1.738242491,0.055298345
e8.1,06.07.22,7,23,15,Dark,8,0.839334619,0.237202571
e8.1,06.07.22,7,23,15,Dark,8,0.582344946,0.133531373
e9.1,06.07.22,7,24,20,Light,9,1.063595542,0.010106513
e9.1,06.07.22,7,24,20,Light,9,0.264447664,0.021049189
e9.1,06.07.22,7,24,20,Light,9,0.585534417,0.013090879
e10.1,06.07.22,7,25,20,Light,10,0.432954567,0.073844049
e10.1,06.07.22,7,25,20,Light,10,0.732923591,-0.006875952
e10.1,06.07.22,7,25,20,Light,10,0.632741224,0.013730387
e11.1,06.07.22,7,26,20,Light,11,0.575295635,0.050679683
e11.1,06.07.22,7,26,20,Light,11,1.26472702,0.018562218
e11.1,06.07.22,7,26,20,Light,11,0.604341807,0.052740316
e12.1,06.07.22,7,27,20,Light,12,0.722470102,0.113067148
e12.1,06.07.22,7,27,20,Light,12,0.522641474,0.053024542
e12.1,06.07.22,7,27,20,Light,12,2.48719946,0.128699542
e13.1,06.07.22,7,28,25,Light,13,2.100273624,0.063185598
e13.1,06.07.22,7,28,25,Light,13,1.471091663,0.203024472
e13.1,06.07.22,7,28,25,Light,13,0.649893605,0.089760669
e14.1,06.07.22,7,29,25,Light,14,33.43769928,0.44234222
