row,tank,temp,light,treatment,timepoint,time,date,species,dryweight_chem,dryweight,wetweight,buoyant_mass,prb,notes,sample_id,d15N,d13C,N,C,C/N,piC,comments,prC
66,13,25,Y,25,T5,28,"July 26, 2022",Ecklonia radiata,0.00,0.00,0.00,,0.00,0.26,Er_T5_13,,,,,,,,0.00
67,14,25,Y,25,T5,28,"July 26, 2022",Ecklonia radiata,0.00,0.00,0.00,,0.00,,Er_T5_14,,,,,,,,0.00
68,15,25,Y,25,T5,28,"July 26, 2022",Ecklonia radiata,1.65,1.65,8.04,9.74,1.03,ww calculated based on buoyant mass,Er_T5_15,4.24,-19.54,0.7,28.2,40.9,1.07,,1.09
69,16,25,Y,25,T5,28,"July 26, 2022",Ecklonia radiata,0.44,0.00,0.00,3.10,0.00,,Er_T5_16,4.58,-22.97,1.1,29.5,27,1.12,,0.00
70,1,15,Y,15,T6,38,"August 5, 2022",Ecklonia radiata,1.69,1.69,8.84,10.71,1.06,ww calculated based on buoyant mass,Er_T6_01,4.86,-20.59,0.8,30.4,35.8,1.14,,1.18
71,2,15,Y,15,T6,38,"August 5, 2022",Ecklonia radiata,0.88,0.88,6.08,7.37,0.55,ww calculated based on buoyant mass,Er_T6_02,5.15,-19.51,1.1,30.6,28.5,1.14,,0.64
72,3,15,Y,15,T6,38,"August 5, 2022",Ecklonia radiata,0.27,0.27,2.54,3.08,0.17,ww calculated based on buoyant mass,Er_T6_03,5.28,-23.03,1.3,22.7,17.2,0.87,,0.15
73,4,15,Y,15,T6,38,"August 5, 2022",Ecklonia radiata,1.34,1.34,8.90,10.78,0.83,ww calculated based on buoyant mass,Er_T6_04,4.74,-20.93,1.1,29.1,26.8,1.10,,0.92
74,5,15,N,dark,T6,38,"August 5, 2022",Ecklonia radiata,0.37,0.37,2.68,3.25,0.23,ww calculated based on buoyant mass,Er_T6_05,5.74,-22.17,1.6,26.6,16.6,1.03,,0.23
75,6,15,N,dark,T6,38,"August 5, 2022",Ecklonia radiata,0.03,0.03,0.36,0.43,0.02,ww calculated based on buoyant mass,Er_T6_06,5.98,-20.09,1,20.8,21.1,0.81,,0.01
76,7,15,N,dark,T6,38,"August 5, 2022",Ecklonia radiata,0.26,0.26,0.51,0.62,0.16,ww calculated based on buoyant mass,Er_T6_07,4.03,-21.91,1.4,20.2,14.7,0.76,,0.12
77,8,15,N,dark,T6,38,"August 5, 2022",Ecklonia radiata,1.24,1.24,7.17,8.69,0.77,ww calculated based on buoyant mass,Er_T6_08,5.17,-20.69,1,28.2,28.4,1.01,,0.82
78,9,20,Y,20,T6,38,"August 5, 2022",Ecklonia radiata,0.00,0.00,0.01,,0.00,,Er_T6_09,5.05,-24.45,4.3,32,7.4,1.21,,0.00
79,10,20,Y,20,T6,38,"August 5, 2022",Ecklonia radiata,0.02,0.02,0.07,,0.01,,Er_T6_10,5.97,-18.95,3.6,31.9,8.8,1.26,,0.01
80,11,20,Y,20,T6,38,"August 5, 2022",Ecklonia radiata,0.20,0.00,0.00,1.87,0.00,zero chosen for random sample but chem data will use tissue ,Er_T6_11,6.03,-26.2,0.7,23.8,32.5,0.96,,0.00
81,12,20,Y,20,T6,38,"August 5, 2022",Ecklonia radiata,0.00,0.00,0.00,,0.00,,Er_T6_12,,,,,,,,0.00
82,13,25,Y,25,T6,38,"August 5, 2022",Ecklonia radiata,0.01,0.01,0.02,,0.00,,Er_T6_13,5.48,-21.48,2,23.9,11.8,0.89,,0.00
83,14,25,Y,25,T6,38,"August 5, 2022",Ecklonia radiata,0.00,0.00,0.00,,0.00,,Er_T6_14,,,,,,,,0.00
84,15,25,Y,25,T6,38,"August 5, 2022",Ecklonia radiata,0.00,0.00,0.00,,0.00,,Er_T6_15,,,,,,,,0.00
85,16,25,Y,25,T6,38,"August 5, 2022",Ecklonia radiata,0.00,0.00,0.00,,0.00,,Er_T6_16,,,,,,,,0.00
86,1,15,Y,15,T7,56,"August 23, 2022",Ecklonia radiata,1.41,1.41,10.16,,0.88,,Er_T7_01,5.9,-22.49,0.7,20.1,27.7,0.73,,0.64
87,2,15,Y,15,T7,56,"August 23, 2022",Ecklonia radiata,1.53,1.53,10.90,,0.96,,Er_T7_02,6.03,-23.05,1,27,26.5,0.93,,0.89
88,3,15,Y,15,T7,56,"August 23, 2022",Ecklonia radiata,0.42,0.42,2.69,,0.26,,Er_T7_03,5.96,-20.62,1.3,28.8,21.7,0.97,,0.25
89,4,15,Y,15,T7,56,"August 23, 2022",Ecklonia radiata,1.30,1.30,7.28,,0.81,,Er_T7_04,5.22,-21.37,0.7,29.2,42.1,0.97,,0.79
90,5,15,N,dark,T7,56,"August 23, 2022",Ecklonia radiata,0.03,0.03,0.15,,0.02,,Er_T7_05,6.29,-20.86,4.2,32.8,7.9,1.08,,0.02
91,6,15,N,dark,T7,56,"August 23, 2022",Ecklonia radiata,0.00,0.00,0.00,,0.00,,Er_T7_06,,,,,,,,0.00
92,7,15,N,dark,T7,56,"August 23, 2022",Ecklonia radiata,0.00,0.00,0.00,,0.00,,Er_T7_07,,,,,,,,0.00
93,8,15,N,dark,T7,56,"August 23, 2022",Ecklonia radiata,1.49,1.49,1.85,,0.93,,Er_T7_08,6.03,-19.64,2.1,28.1,13.6,1.00,,0.93
94,9,20,Y,20,T7,56,"August 23, 2022",Ecklonia radiata,0.00,0.00,0.00,,0.00,,Er_T7_09,,,,,,,,0.00
95,10,20,Y,20,T7,56,"August 23, 2022",Ecklonia radiata,0.00,0.00,0.00,,0.00,,Er_T7_10,,,,,,,,0.00
96,11,20,Y,20,T7,56,"August 23, 2022",Ecklonia radiata,0.00,0.00,0.00,,0.00,,Er_T7_11,,,,,,,,0.00
97,12,20,Y,20,T7,56,"August 23, 2022",Ecklonia radiata,0.00,0.00,0.00,,0.00,,Er_T7_12,,,,,,,,0.00
98,13,25,Y,25,T7,56,"August 23, 2022",Ecklonia radiata,0.00,0.00,0.00,,0.00,,Er_T7_13,,,,,,,,0.00
99,14,25,Y,25,T7,56,"August 23, 2022",Ecklonia radiata,0.00,0.00,0.00,,0.00,,Er_T7_14,,,,,,,,0.00
100,15,25,Y,25,T7,56,"August 23, 2022",Ecklonia radiata,0.00,0.00,0.00,,0.00,,Er_T7_15,,,,,,,,0.00
101,16,25,Y,25,T7,56,"August 23, 2022",Ecklonia radiata,0.00,0.00,0.00,,0.00,,Er_T7_16,,,,,,,,0.00
102,1,15,Y,15,T8,83,"September 19, 2022",Ecklonia radiata,1.26,1.26,9.35,,0.79,,Er_T8_01,6.03,-22.08,0.9,28,32.9,0.95,,0.75
103,2,15,Y,15,T8,83,"September 19, 2022",Ecklonia radiata,0.44,0.44,3.35,,0.28,,Er_T8_02,6.15,-25.26,1,27.5,27.1,0.92,,0.25
104,3,15,Y,15,T8,83,"September 19, 2022",Ecklonia radiata,1.43,1.43,8.83,,0.89,,Er_T8_03,5.47,-20.73,1,29.4,28.8,0.94,,0.84
105,4,15,Y,15,T8,83,"September 19, 2022",Ecklonia radiata,0.00,0.00,0.00,,0.00,,Er_T8_04,5.99,-20.89,4.9,32.9,6.8,1.00,,0.00
106,5,15,N,dark,T8,83,"September 19, 2022",Ecklonia radiata,0.00,0.00,0.00,,0.00,,Er_T8_05,,,,,,,,0.00
107,6,15,N,dark,T8,83,"September 19, 2022",Ecklonia radiata,0.00,0.00,0.00,,0.00,,Er_T8_06,,,,,,,,0.00
108,7,15,N,dark,T8,83,"September 19, 2022",Ecklonia radiata,0.00,0.00,0.00,,0.00,,Er_T8_07,,,,,,,,0.00
109,8,15,N,dark,T8,83,"September 19, 2022",Ecklonia radiata,0.00,0.00,0.00,,0.00,,Er_T8_08,,,,,,,,0.00
118,1,15,Y,15,T9,120,"October 26, 2022",Ecklonia radiata,1.21,1.21,6.96,,0.76,,Er_T9_01,6.5,-23.56,1.1,26,24.2,0.93,,0.71
119,2,15,Y,15,T9,120,"October 26, 2022",Ecklonia radiata,0.23,0.23,1.88,,0.14,,Er_T9_02,7.35,-22.08,2.8,24.7,9,0.86,,0.12
120,3,15,Y,15,T9,120,"October 26, 2022",Ecklonia radiata,0.01,0.01,0.06,,0.01,,Er_T9_03,,,,,,,,0.00
121,4,15,Y,15,T9,120,"October 26, 2022",Ecklonia radiata,0.00,0.00,0.00,,0.00,,Er_T9_04,,,,,,,,0.00
122,5,15,N,dark,T9,120,"October 26, 2022",Ecklonia radiata,0.00,0.00,0.00,,0.00,,Er_T9_05,,,,,,,,0.00
123,6,15,N,dark,T9,120,"October 26, 2022",Ecklonia radiata,0.01,0.01,0.03,,0.00,,Er_T9_06,5.51,-21.74,3.6,32.9,9,1.00,,0.00
124,7,15,N,dark,T9,120,"October 26, 2022",Ecklonia radiata,0.00,0.00,0.00,,0.00,,Er_T9_07,,,,,,,,0.00
125,8,15,N,dark,T9,120,"October 26, 2022",Ecklonia radiata,0.00,0.00,0.00,,0.00,,Er_T9_08,,,,,,,,#DIV/0!
